Experiment, Repeat, Partition Start, Partition End, Bond Energies, Energy, Product Strategy, Reactant Strategy, Number of cycles, Length of longest cycle, Count of most common cycle
strategies-1,0,4750,5000,-1,-1,-1,-1,1,3,3
strategies-1,0,9750,10000,-1,-1,-1,-1,0,0,0
strategies-1,0,14750,15000,-1,-1,-1,-1,0,0,0
strategies-1,0,19750,20000,-1,-1,-1,-1,0,0,0
strategies-1,1,4750,5000,-1,-1,-1,-1,1,3,2
strategies-1,1,9750,10000,-1,-1,-1,-1,1,4,2
strategies-1,1,14750,15000,-1,-1,-1,-1,1,3,3
strategies-1,1,19750,20000,-1,-1,-1,-1,2,3,2
strategies-1,2,4750,5000,-1,-1,-1,-1,0,0,0
strategies-1,2,9750,10000,-1,-1,-1,-1,0,0,0
strategies-1,2,14750,15000,-1,-1,-1,-1,1,3,2
strategies-1,2,19750,20000,-1,-1,-1,-1,2,4,2
strategies-2,0,4750,5000,-1,+1,-1,-1,0,0,0
strategies-2,0,9750,10000,-1,+1,-1,-1,0,0,0
strategies-2,0,14750,15000,-1,+1,-1,-1,0,0,0
strategies-2,0,19750,20000,-1,+1,-1,-1,0,0,0
strategies-2,1,4750,5000,-1,+1,-1,-1,0,0,0
strategies-2,1,9750,10000,-1,+1,-1,-1,0,0,0
strategies-2,1,14750,15000,-1,+1,-1,-1,1,3,2
strategies-2,1,19750,20000,-1,+1,-1,-1,1,3,2
strategies-2,2,4750,5000,-1,+1,-1,-1,0,0,0
strategies-2,2,9750,10000,-1,+1,-1,-1,0,0,0
strategies-2,2,14750,15000,-1,+1,-1,-1,1,3,2
strategies-2,2,19750,20000,-1,+1,-1,-1,0,0,0
strategies-3,0,4750,5000,+1,-1,-1,-1,0,0,0
strategies-3,0,9750,10000,+1,-1,-1,-1,0,0,0
strategies-3,0,14750,15000,+1,-1,-1,-1,1,4,2
strategies-3,0,19750,20000,+1,-1,-1,-1,1,3,2
strategies-3,1,4750,5000,+1,-1,-1,-1,1,3,2
strategies-3,1,9750,10000,+1,-1,-1,-1,0,0,0
strategies-3,1,14750,15000,+1,-1,-1,-1,0,0,0
strategies-3,1,19750,20000,+1,-1,-1,-1,0,0,0
strategies-3,2,4750,5000,+1,-1,-1,-1,0,0,0
strategies-3,2,9750,10000,+1,-1,-1,-1,0,0,0
strategies-3,2,14750,15000,+1,-1,-1,-1,1,4,2
strategies-3,2,19750,20000,+1,-1,-1,-1,1,3,2
strategies-4,0,4750,5000,+1,+1,-1,-1,1,3,2
strategies-4,0,9750,10000,+1,+1,-1,-1,0,0,0
strategies-4,0,14750,15000,+1,+1,-1,-1,0,0,0
strategies-4,0,19750,20000,+1,+1,-1,-1,0,0,0
strategies-4,1,4750,5000,+1,+1,-1,-1,0,0,0
strategies-4,1,9750,10000,+1,+1,-1,-1,1,3,3
strategies-4,1,14750,15000,+1,+1,-1,-1,0,0,0
strategies-4,1,19750,20000,+1,+1,-1,-1,0,0,0
strategies-4,2,4750,5000,+1,+1,-1,-1,0,0,0
strategies-4,2,9750,10000,+1,+1,-1,-1,0,0,0
strategies-4,2,14750,15000,+1,+1,-1,-1,0,0,0
strategies-4,2,19750,20000,+1,+1,-1,-1,0,0,0
strategies-5,0,4750,5000,-1,-1,-1,+1,118,10,42
strategies-5,0,9750,10000,-1,-1,-1,+1,48,6,80
strategies-5,0,14750,15000,-1,-1,-1,+1,46,10,14
strategies-5,0,19750,20000,-1,-1,-1,+1,81,10,10
strategies-5,1,4750,5000,-1,-1,-1,+1,27,5,23
strategies-5,1,9750,10000,-1,-1,-1,+1,19,4,46
strategies-5,1,14750,15000,-1,-1,-1,+1,169,10,36
strategies-5,1,19750,20000,-1,-1,-1,+1,5,4,16
strategies-5,2,4750,5000,-1,-1,-1,+1,66,8,43
strategies-5,2,9750,10000,-1,-1,-1,+1,142,10,37
strategies-5,2,14750,15000,-1,-1,-1,+1,48,8,52
strategies-5,2,19750,20000,-1,-1,-1,+1,12,5,7
strategies-6,0,4750,5000,-1,+1,-1,+1,32,7,323
strategies-6,0,9750,10000,-1,+1,-1,+1,116,10,116
strategies-6,0,14750,15000,-1,+1,-1,+1,34,8,12
strategies-6,0,19750,20000,-1,+1,-1,+1,45,7,16
strategies-6,1,4750,5000,-1,+1,-1,+1,218,11,42
strategies-6,1,9750,10000,-1,+1,-1,+1,185,11,33
strategies-6,1,14750,15000,-1,+1,-1,+1,30,6,17
strategies-6,1,19750,20000,-1,+1,-1,+1,15,5,10
strategies-6,2,4750,5000,-1,+1,-1,+1,24,7,233
strategies-6,2,9750,10000,-1,+1,-1,+1,74,9,25
strategies-6,2,14750,15000,-1,+1,-1,+1,21,6,6
strategies-6,2,19750,20000,-1,+1,-1,+1,20,6,13
strategies-7,0,4750,5000,+1,-1,-1,+1,98,7,134
strategies-7,0,9750,10000,+1,-1,-1,+1,57,8,167
strategies-7,0,14750,15000,+1,-1,-1,+1,9,4,28
strategies-7,0,19750,20000,+1,-1,-1,+1,14,5,16
strategies-7,1,4750,5000,+1,-1,-1,+1,41,6,1636
strategies-7,1,9750,10000,+1,-1,-1,+1,38,6,70
strategies-7,1,14750,15000,+1,-1,-1,+1,77,7,156
strategies-7,1,19750,20000,+1,-1,-1,+1,47,7,216
strategies-7,2,4750,5000,+1,-1,-1,+1,46,8,1405
strategies-7,2,9750,10000,+1,-1,-1,+1,67,7,22
strategies-7,2,14750,15000,+1,-1,-1,+1,22,7,77
strategies-7,2,19750,20000,+1,-1,-1,+1,26,5,22
strategies-8,0,4750,5000,+1,+1,-1,+1,190,12,1964
strategies-8,0,9750,10000,+1,+1,-1,+1,80,7,459
strategies-8,0,14750,15000,+1,+1,-1,+1,47,7,270
strategies-8,0,19750,20000,+1,+1,-1,+1,60,7,134
strategies-8,1,4750,5000,+1,+1,-1,+1,71,7,252
strategies-8,1,9750,10000,+1,+1,-1,+1,17,6,25
